season,episode,title,number_in_series,original_air_date
1,1,Simpsons Roasting on an Open Fire,1,1989-12-17T00:00:00+02:00
1,2,Bart the Genius,2,1990-01-14T00:00:00+02:00
1,3,Homer's Odyssey,3,1990-01-21T00:00:00+02:00
1,4,There's No Disgrace Like Home,4,1990-01-28T00:00:00+02:00
1,5,Bart the General,5,1990-02-04T00:00:00+02:00
1,6,Moaning Lisa,6,1990-02-11T00:00:00+02:00
1,7,The Call of the Simpsons,7,1990-02-18T00:00:00+02:00
1,8,The Telltale Head,8,1990-02-25T00:00:00+02:00
1,9,Life on the Fast Lane,9,1990-03-18T00:00:00+02:00
1,10,Homer's Night Out,10,1990-03-25T00:00:00+02:00
1,11,The Crepes of Wrath,11,1990-04-15T00:00:00+02:00
1,12,Krusty Gets Busted,12,1990-04-29T00:00:00+02:00
1,13,Some Enchanted Evening,13,1990-05-13T00:00:00+02:00
2,1,"Bart Gets an ""F""",14,1990-10-11T00:00:00+02:00
2,2,Simpson and Delilah,15,1990-10-18T00:00:00+02:00
2,3,Treehouse of Horror,16,1990-10-25T00:00:00+02:00
2,4,Two Cars in Every Garage and Three Eyes on Every Fish,17,1990-11-01T00:00:00+02:00
2,5,Dancin' Homer,18,1990-11-08T00:00:00+02:00
2,6,Dead Putting Society,19,1990-11-15T00:00:00+02:00
2,7,Bart vs. Thanksgiving,20,1990-11-22T00:00:00+02:00
2,8,Bart the Daredevil,21,1990-12-06T00:00:00+02:00
2,9,Itchy & Scratchy & Marge,22,1990-12-20T00:00:00+02:00
2,10,Bart Gets Hit by a Car,23,1991-01-10T00:00:00+02:00
2,11,"One Fish, Two Fish, Blowfish, Blue Fish",24,1991-01-24T00:00:00+02:00
2,12,The Way We Was,25,1991-01-31T00:00:00+02:00
2,13,Homer vs. Lisa and the 8th Commandment,26,1991-02-07T00:00:00+02:00
2,14,Principal Charming,27,1991-02-14T00:00:00+02:00
2,15,"Oh Brother, Where Art Thou?",28,1991-02-21T00:00:00+02:00
2,16,"Bart's Dog Gets an ""F""",29,1991-03-07T00:00:00+02:00
2,17,Old Money,30,1991-03-28T00:00:00+02:00
2,18,Brush with Greatness,31,1991-04-11T00:00:00+02:00
2,19,Lisa's Substitute,32,1991-04-25T00:00:00+02:00
2,20,The War of the Simpsons,33,1991-05-02T00:00:00+02:00
2,21,Three Men and a Comic Book,34,1991-05-09T00:00:00+02:00
2,22,Blood Feud,35,1991-07-11T00:00:00+02:00
3,1,Stark Raving Dad,36,1991-09-19T00:00:00+02:00
3,2,Mr. Lisa Goes to Washington,37,1991-09-26T00:00:00+02:00
3,3,When Flanders Failed,38,1991-10-03T00:00:00+02:00
3,4,Bart the Murderer,39,1991-10-10T00:00:00+02:00
3,5,Homer Defined,40,1991-10-17T00:00:00+02:00
3,6,"Like Father, Like Clown",41,1991-10-24T00:00:00+02:00
3,7,Treehouse of Horror II,42,1991-10-31T00:00:00+02:00
3,8,Lisa's Pony,43,1991-11-07T00:00:00+02:00
3,9,Saturdays of Thunder,44,1991-11-14T00:00:00+02:00
3,10,Flaming Moe's,45,1991-11-21T00:00:00+02:00
3,11,Burns Verkaufen der Kraftwerk,46,1991-12-05T00:00:00+02:00
3,12,I Married Marge,47,1991-12-26T00:00:00+02:00
3,13,Radio Bart,48,1992-01-09T00:00:00+02:00
3,14,Lisa the Greek,49,1992-01-23T00:00:00+02:00
3,15,Homer Alone,50,1992-02-06T00:00:00+02:00
3,16,Bart the Lover,51,1992-02-13T00:00:00+02:00
3,17,Homer at the Bat,52,1992-02-20T00:00:00+02:00
3,18,Separate Vocations,53,1992-02-27T00:00:00+02:00
3,19,Dog of Death,54,1992-03-12T00:00:00+02:00
3,20,Colonel Homer,55,1992-03-26T00:00:00+02:00
3,21,Black Widower,56,1992-04-09T00:00:00+02:00
3,22,The Otto Show,57,1992-04-23T00:00:00+02:00
3,23,Bart's Friend Falls in Love,58,1992-05-07T00:00:00+02:00
3,24,"Brother, Can You Spare Two Dimes?",59,1992-08-27T00:00:00+02:00
4,1,Kamp Krusty,60,1992-09-24T00:00:00+02:00
4,2,A Streetcar Named Marge,61,1992-10-01T00:00:00+02:00
4,3,Homer the Heretic,62,1992-10-08T00:00:00+02:00
4,4,Lisa the Beauty Queen,63,1992-10-15T00:00:00+02:00
4,5,Treehouse of Horror III,64,1992-10-29T00:00:00+02:00
4,6,Itchy & Scratchy: The Movie,65,1992-11-03T00:00:00+02:00
4,7,Marge Gets a Job,66,1992-11-05T00:00:00+02:00
4,8,New Kid on the Block,67,1992-11-12T00:00:00+02:00
4,9,Mr. Plow,68,1992-11-19T00:00:00+02:00
4,10,Lisa's First Word,69,1992-12-03T00:00:00+02:00
4,11,Homer's Triple Bypass,70,1992-12-17T00:00:00+02:00
4,12,Marge vs. the Monorail,71,1993-01-14T00:00:00+02:00
4,13,Selma's Choice,72,1993-01-21T00:00:00+02:00
4,14,Brother from the Same Planet,73,1993-02-04T00:00:00+02:00
4,15,I Love Lisa,74,1993-02-11T00:00:00+02:00
4,16,Duffless,75,1993-02-18T00:00:00+02:00
4,17,Last Exit to Springfield,76,1993-03-11T00:00:00+02:00
4,18,So It's Come to This: A Simpsons Clip Show,77,1993-04-01T00:00:00+02:00
4,19,The Front,78,1993-04-15T00:00:00+02:00
4,20,Whacking Day,79,1993-04-29T00:00:00+02:00
4,21,Marge in Chains,80,1993-05-06T00:00:00+02:00
4,22,Krusty Gets Kancelled,81,1993-05-13T00:00:00+02:00
5,1,Homer's Barbershop Quartet,82,1993-09-30T00:00:00+02:00
5,2,Cape Feare,83,1993-10-07T00:00:00+02:00
5,3,Homer Goes to College,84,1993-10-14T00:00:00+02:00
5,4,Rosebud,85,1993-10-21T00:00:00+02:00
5,5,Treehouse of Horror IV,86,1993-10-28T00:00:00+02:00
5,6,Marge on the Lam,87,1993-11-04T00:00:00+02:00
5,7,Bart's Inner Child,88,1993-11-11T00:00:00+02:00
5,8,Boy-Scoutz 'n the Hood,89,1993-11-18T00:00:00+02:00
5,9,The Last Temptation of Homer,90,1993-12-09T00:00:00+02:00
5,10,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",91,1993-12-16T00:00:00+02:00
5,11,Homer the Vigilante,92,1994-01-06T00:00:00+02:00
5,12,Bart Gets Famous,93,1994-02-03T00:00:00+02:00
5,13,Homer and Apu,94,1994-02-10T00:00:00+02:00
5,14,Lisa vs. Malibu Stacy,95,1994-02-17T00:00:00+02:00
5,15,Deep Space Homer,96,1994-02-24T00:00:00+02:00
5,16,Homer Loves Flanders,97,1994-03-17T00:00:00+02:00
5,17,Bart Gets an Elephant,98,1994-03-31T00:00:00+02:00
5,18,Burns' Heir,99,1994-04-14T00:00:00+02:00
5,19,Sweet Seymour Skinner's Baadasssss Song,100,1994-04-28T00:00:00+02:00
5,20,The Boy Who Knew Too Much,101,1994-05-05T00:00:00+02:00
5,21,Lady Bouvier's Lover,102,1994-05-12T00:00:00+02:00
5,22,Secrets of a Successful Marriage,103,1994-05-19T00:00:00+02:00
6,1,Bart of Darkness,104,1994-09-04T00:00:00+02:00
6,2,Lisa's Rival,105,1994-09-11T00:00:00+02:00
6,3,Another Simpsons Clip Show,106,1994-09-25T00:00:00+02:00
6,4,Itchy & Scratchy Land,107,1994-10-02T00:00:00+02:00
6,5,Sideshow Bob Roberts,108,1994-10-09T00:00:00+02:00
6,6,Treehouse of Horror V,109,1994-10-30T00:00:00+02:00
